,precision,recall,f1-score,support
Pepper__bell___Bacterial_spot,0.9867549668874173,1.0,0.9933333333333333,149.0
Pepper__bell___healthy,1.0,1.0,1.0,221.0
Potato___Early_blight,0.9932432432432432,0.98,0.9865771812080537,150.0
Potato___Late_blight,0.8950617283950617,0.9666666666666667,0.9294871794871795,150.0
Potato___healthy,0.8518518518518519,1.0,0.92,23.0
Tomato_Bacterial_spot,0.9548192771084337,0.9937304075235109,0.9738863287250384,319.0
Tomato_Early_blight,0.9621212121212122,0.8466666666666667,0.900709219858156,150.0
Tomato_Late_blight,0.9716312056737588,0.9547038327526133,0.9630931458699473,287.0
Tomato_Leaf_Mold,0.951048951048951,0.951048951048951,0.951048951048951,143.0
Tomato_Septoria_leaf_spot,0.9765625,0.9398496240601504,0.9578544061302682,266.0
Tomato_Spider_mites_Two_spotted_spider_mite,0.9157088122605364,0.9484126984126984,0.9317738791423001,252.0
Tomato__Target_Spot,0.9009433962264151,0.9095238095238095,0.9052132701421801,210.0
Tomato__Tomato_YellowLeaf__Curl_Virus,0.997867803837953,0.970954356846473,0.9842271293375394,482.0
Tomato__Tomato_mosaic_virus,0.9180327868852459,1.0,0.9572649572649573,56.0
Tomato_healthy,0.9790794979079498,0.9831932773109243,0.9811320754716981,238.0
accuracy,0.96156330749354,0.96156330749354,0.96156330749354,0.96156330749354
macro avg,0.9503151488965355,0.962983352720831,0.9557067371346403,3096.0
weighted avg,0.9624528141354863,0.96156330749354,0.9615520024844322,3096.0
