,Pepper__bell___Bacterial_spot,Pepper__bell___healthy,Potato___Early_blight,Potato___Late_blight,Potato___healthy,Tomato_Bacterial_spot,Tomato_Early_blight,Tomato_Late_blight,Tomato_Leaf_Mold,Tomato_Septoria_leaf_spot,Tomato_Spider_mites_Two_spotted_spider_mite,Tomato__Target_Spot,Tomato__Tomato_YellowLeaf__Curl_Virus,Tomato__Tomato_mosaic_virus,Tomato_healthy
Pepper__bell___Bacterial_spot,149,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pepper__bell___healthy,0,221,0,0,0,0,0,0,0,0,0,0,0,0,0
Potato___Early_blight,0,0,147,3,0,0,0,0,0,0,0,0,0,0,0
Potato___Late_blight,0,0,0,145,4,0,0,0,0,0,0,1,0,0,0
Potato___healthy,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0
Tomato_Bacterial_spot,0,0,0,0,0,317,0,0,0,1,1,0,0,0,0
Tomato_Early_blight,2,0,1,3,0,1,127,2,3,2,1,5,0,1,2
Tomato_Late_blight,0,0,0,10,0,0,0,274,2,0,0,1,0,0,0
Tomato_Leaf_Mold,0,0,0,0,0,0,0,4,136,0,2,1,0,0,0
Tomato_Septoria_leaf_spot,0,0,0,1,0,2,4,1,0,250,1,3,1,2,1
Tomato_Spider_mites_Two_spotted_spider_mite,0,0,0,0,0,0,1,0,0,1,239,9,0,1,1
Tomato__Target_Spot,0,0,0,0,0,0,0,0,0,2,15,191,0,1,1
Tomato__Tomato_YellowLeaf__Curl_Virus,0,0,0,0,0,12,0,0,2,0,0,0,468,0,0
Tomato__Tomato_mosaic_virus,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0
Tomato_healthy,0,0,0,0,0,0,0,1,0,0,2,1,0,0,234
